@relation rbf
@attribute atributo1 real
@attribute atributo2 real
@attribute Class {1,2,3,6,7}
@data
0.254614469,0.122684259,1
0.236019086,0.122637399,1
0.549052763,0.593480222,3
0.294839001,0.098272446,1
0.240191736,0.138986143,1
0.230807998,0.113847797,1
0.231702816,0.048052871,1
0.522253296,0.852415351,2
0.256960514,0.09660372,1
0.24076606,0.175597394,1
0.586561541,0.808938869,2
0.230356541,0.145536568,1
0.592454682,0.555498131,3
0.2307958,0.116093535,1
0.632529363,0.529037595,3
0.545880914,0.77303228,2
0.217282655,0.055207772,1
0.556777141,0.571715998,3
0.229686881,0.112549128,1
0.592537331,0.58861179,3
0.586586045,0.557549278,3
0.27958226,0.131418497,1
0.587159466,0.54377136,3
0.23051295,0.178502021,1
0.608896356,0.613057827,3
0.598225805,0.530314096,3
0.617254042,0.549658577,3
0.286982599,0.089972587,1
0.294197485,0.12439849,1
0.284441898,0.119880885,1
0.240264027,0.12418994,1
0.231844629,0.085724217,1
0.516951838,0.851205778,2
0.22207475,0.071603196,1
0.231215337,0.123520654,1
0.515285323,0.839176517,2
0.243327752,0.106524199,1
0.244724803,0.108640675,1
0.454686766,0.810042595,2
0.483336284,0.836686677,2
0.259222728,0.123529467,1
0.471286892,0.829494377,2
0.560631439,0.798407004,2
0.534289729,0.593715584,3
0.19201919,0.060647696,1
0.243702012,0.087786434,1
0.23319959,0.131256042,1
0.556709571,0.75307522,2
0.518015087,0.805091969,2
0.205508881,0.166203383,1
0.231252814,0.107418196,1
0.585317314,0.507482961,3
0.519523263,0.822771295,2
0.52692548,0.812254318,2
0.232491673,0.05992563,1
0.501324373,0.804786738,2
0.271789913,0.085255016,1
0.179623918,0.101634308,1
0.612727523,0.550636154,3
0.565284161,0.49395718,3
0.581513733,0.788419042,2
0.23473023,0.118268403,1
0.576270056,0.545630186,3
0.586316254,0.815306829,2
0.592028853,0.57375373,3
0.275777429,0.072213452,1
0.276618309,0.112994205,1
0.551872833,0.523837219,3
0.219753425,0.096488637,1
0.532703325,0.817576907,2
0.232691779,0.099834245,1
0.530009093,0.792205886,2
0.579091148,0.565405963,3
